Company, ISIN
Viacom Inc.,US92553P2011
Valero Energy,US91913Y1001
Vodafone Group,US92857W3088
Adobe Systems Inc.,US00724F1012
Ameren Corp.,US0236081024
Baker Hughes Inc,US0572241075
Carnival Corp.,PA1436583006
CF Industries Holdings Inc.,US1252691001
Comcast Class A Comm.,US20030N1019
Cummins Inc.,US2310211063
Dow Chemical,US2605431038
DTE Energy Co.,US2333311072
Duke Energy,US26441C2044
Ford Motor,US3453708600
FirstEnergy Corp,US3379321074
FLIR Systems,US3024451011
Twenty-First Century Fox,US90130A2006
General Mills Inc.,US3703341046
Gap Inc.,US3647601083
Garmin Ltd.,CH0114405324
Hasbro Inc.,US4180561072
Hewlett-Packard Co,US4282361033
Host Hotels & Resorts,US44107P1049
Jacobs Engineering Group,US4698141078
Kraft Heinz Co,US5007541064
The Coca Cola Co.,US1912161007
Microchip Technology,US5950171042
Mohawk Industries,US6081901042
NextEra Energy,US65339F1012
Prudential Financial,US7443201022
Regeneron,US75886F1075
State Street Corp.,US8574771031
Tenet Healthcare Corp.,US88033G4073
Torchmark Corp.,US8910271043
Tesla Motors Inc,US88160R1014
Walgreens Boots Alliance,US9314271084
Waste Management Inc.,US94106L1098
Xcel Energy Inc.,US98389B1008
XL Capital,IE00B5LRLL25
AmerisourceBergen Corp.,US03073E1055
Alliance Data Systems Corp.,US0185811082
BlackRock,US09247X1019
The Clorox Company,US1890541097
CenterPoint Energy,US15189T1079
CVS Caremark Corp.,US1266501006
Chevron Corp.,US1667641005
D. R. Horton,US23331A1097
Discovery Com Class A,US25470F1049
Dish Network Corp Class A,US25470M1099
General Electric,US3696041033
General Growth Properties,US3700231034
Gilead Sciences,US3755581036
GameStop Corp.,US36467W1099
Henry Schein Inc.,US8064071025
International Paper Co.,US4601461035
Juniper Networks,US48203R1041
Joy Global Inc.,US4811651086
Kimberly-Clark,US4943681035
L-3 Comm's Holdings,US5024241045
Legg Mason,US5249011058
McKesson Corp.,US58155Q1031
McCormick & Co.,US5797802064
Pitney-Bowes,US7244791007
Patterson Companies,US7033951036
Philip Morris Int'l,US7181721090
Pentair Ltd.,IE00BLS09M33
Public Storage,US74460D1090
Liberty Interactive,US53071M1045
J.M. Smucker Co.,US8326964058
Scripps Networks Int.,US8110651010
Seagate Technology,IE00B58JVZ52
Stanley Black & Decker,US8545021011
Sysco Corp.,US8718291078
TripAdvisor,US8969452015
The Travelers Companies,US89417E1091
"United Rentals, Inc.",US9113631090
V.F. Corp.,US9182041080
Verizon Communications,US92343V1044
Western Digital,US9581021055
Xilinx Inc.,US9839191015
Analog Devices Inc.,US0326541051
AES Corp.,US00130H1059
Ametek,US0311001004
Amgen Inc.,US0311621009
Amphenol Corp.,US0320951017
Franklin Resources,US3546131018
Baidu Class A,US0567521085
Boston Scientific,US1011371077
ConAgra Foods Inc.,US2058871029
Comcast Class A Spec.,US20030N2009
Campbell Soup,US1344291091
Cisco Systems,US17275R1023
CSX Corp.,US1264081035
Dr Pepper Snapple Group,US26138E1091
Consolidated Edison,US2091151041
Ensco plc,GB00B4VLR192
Harman Int'l Industries,US4130861093
The Hershey Company,US4278661081
Interpublic Group,US4606901001
Johnson Controls,US4783661071
Kellogg Co.,US4878361082
KLA-Tencor Corp.,US4824801009
Kroger Co.,US5010441013
Lockheed Martin Corp.,US5398301094
Lincoln National,US5341871094
Macerich,US5543821012
McGraw Hill Financial,US5806451093
Marathon Petroleum,US56585A1025
NetApp,US64110D1046
Omnicom Group,US6819191064
Plum Creek Timber Co.,US7292511083
PepsiCo Inc.,US7134481081
Robert Half International,US7703231032
Sherwin-Williams Co.,US8243481061
SunTrust Banks,US8679141031
TJX Companies Inc.,US8725401090
Tyson Foods,US9024941034
U.S. Bancorp,US9029733048
Vimpelcom Ltd,US92719A1060
Verisign Inc.,US92343E1029
Whirlpool Corp.,US9633201069
Wal-Mart Stores,US9311421039
Wyndham Worldwide,US98310W1080
Exxon Mobil Corp.,US30231G1022
Alcoa Inc.,US0138171014
Aetna Inc.,US00817Y1082
"Activision Blizzard, Inc.",US00507V1098
Avery Dennison Corp,US0536111091
Brown-Forman Corp.,US1156372096
Broadcom Corp.,US1113201073
Boston Properties,US1011211018
Chubb Corp.,US1712321017
Cincinnati Financial,US1720621010
Comerica Inc.,US2003401070
Emerson Electric Co,US2910111044
EOG Resources,US26875P1012
FedEx Corporation,US31428X1063
Huntington Bancshares,US4461501045
Harris Corp.,US4138751056
Humana Inc.,US4448591028
JPMorgan Chase & Co.,US46625H1005
KeyCorp,US4932671088
LabCorp,US50540R4092
Liberty Global LiLAC Class A,GB00BTC0M714
Liberty Media Corp Series A,US5312291025
Marriott Int'l.,US5719032022
Monster Beverage,US61174X1090
Merck & Co.,US58933Y1055
Newmont Mining Corp.,US6516391066
NRG Energy,US6293775085
Nucor Corp.,US6703461052
Newell Rubbermaid Co.,US6512291062
Public Serv. Enterprise Inc.,US7445731067
Pulte Homes Inc.,US7458671010
PPL Corp.,US69351T1060
Quanta Services Inc.,US74762E1029
Pioneer Natural Resources,US7237871071
